access,accs
air force base,afb
air national guard base,angb
airport,aprt
alley,ally
alley,aly
alleyway,alwy
amble,ambl
apartments,apts
approach,apch
arcade,arc
arterial,artl
artery,arty
avenue,av
avenue,ave
back,bk
banan,ba
basin,basn
basin,bsn
beach,bch
bend,bend
bend,bnd
block,blk
boardwalk,bwlk
boulevard,blvd
boulevard,bvd
boundary,bdy
bowl,bl
brace,br
brae,br
brae,brae
break,brk
bridge,bdge
bridge,br
bridge,brdg
bridge,bri
broadway,b'way
broadway,bdwy
broadway,bway
broadway,bwy
brook,brk
brow,brow
brow,brw
building,bldg
buildings,bldgs
buildings,bldngs
bypass,bps
bypass,byp
bypass,bypa
byway,bywy
caravan,cvn
causeway,c'way
causeway,caus
causeway,cswy
causeway,cway
center,cen
center,ctr
central,ctrl
centre,cen
centre,ctr
centreway,cnwy
chase,ch
church,ch
circle,cir
circuit,cct
circuit,ci
circus,crc
circus,crcs
city,cty
close,cl
common,cmn
common,comm
community,comm
concourse,cnc
concourse,con
copse,cps
corner,cnr
corner,crn
corso,cso
cottage,cott
cottages,cotts
county,co
county road,cr
county route,cr
court,crt
court,ct
courtyard,ctyd
courtyard,cyd
cove,ce
cove,cov
cove,cove
cove,cv
creek,ck
creek,cr
creek,crk
crescent,cr
crescent,cres
crest,crst
crest,cst
croft,cft
cross,crss
cross,cs
crossing,crsg
crossing,csg
crossing,xing
crossroad,crd
crossway,cowy
cul-de-sac,cds
cul-de-sac,csac
curve,cve
cutting,cutt
dale,dale
dale,dle
deviation,devn
dip,dip
distributor,dstr
down,dn
downs,dn
drive,dr
drive,drv
drive,dv
driveway,drwy
driveway,dvwy
driveway,dwy
east,e
edge,edg
edge,edge
elbow,elb
end,end
entrance,ent
esplanade,esp
estate,est
expressway,exp
expressway,expwy
expressway,expy
expressway,xway
extension,ex
fairway,fawy
fairway,fy
father,fr
ferry,fy
field,fd
fire track,ftrk
firetrail,fit
flat,fl
flat,flat
follow,folw
footway,ftwy
foreshore,fshr
formation,form
fort,ft
freeway,frwy
freeway,fwy
front,frnt
frontage,fr
frontage,frtg
gap,gap
garden,gdn
gardens,gdn
gardens,gdns
gate,ga
gate,gte
gates,ga
gates,gte
gateway,gwy
george,geo
glade,gl
glade,gld
glade,glde
glen,glen
glen,gln
grange,gra
green,gn
green,grn
ground,grnd
grove,gr
grove,gro
grovet,gr
gully,gly
harbor,hbr
harbour,hbr
haven,hvn
head,hd
heads,hd
heights,hgts
heights,ht
heights,hts
high school,hs
highroad,hird
highroad,hrd
highway,hwy
hill,hl
hills,hl
hills,hls
hospital,hosp
house,ho
house,hse
industrial,ind
interchange,intg
international,intl
junction,jctn
junction,jnc
junior,jr
key,key
lagoon,lgn
lakes,l
landing,ldg
lane,la
lane,ln
laneway,lnwy
line,ln
link,link
link,lk
little,lit
little,lt
lodge,ldg
lookout,lkt
loop,lp
lower,lr
lower,lwr
mall,ml
manor,mnr
mansions,mans
market,mkt
mead,md
meadow,mdw
meadows,mdw
meadows,mdws
meander,mdr
meander,mndr
meander,mr
medical,med
memorial,mem
mews,mews
mews,mw
middle,mid
middle school,ms
mile,mi
military,mil
motorway,mtwy
motorway,mwy
mount,mt
mountain,mtn
mountains,mtn
municipal,mun
museum,mus
national park,np
national recreation area,nra
national wildlife refuge area,nwra
nook,nk
nook,nook
north,n
northeast,ne
northwest,nw
outlook,otlk
outlook,out
parade,pde
paradise,pdse
park,park
park,pk
parklands,pkld
parkway,pkwy
parkway,pky
parkway,pwy
pass,pass
pass,ps
passage,psge
path,path
pathway,phwy
pathway,pway
pathway,pwy
piazza,piaz
pike,pk
place,pl
plain,pl
plains,pl
plateau,plat
plaza,pl
plaza,plz
plaza,plza
pocket,pkt
point,pnt
point,pt
port,port
port,pt
post office,po
precinct,pct
promenade,prm
promenade,prom
quad,quad
quadrangle,qdgl
quadrant,qd
quadrant,qdrt
quay,qy
quays,qy
quays,qys
ramble,ra
ramble,rmbl
range,rge
range,rnge
reach,rch
reservation,res
reserve,res
reservoir,res
rest,rest
rest,rst
retreat,rt
retreat,rtt
return,rtn
ridge,rdg
ridge,rdge
ridgeway,rgwy
right of way,rowy
rise,ri
river,r
river,riv
river,rvr
riverway,rvwy
riviera,rvra
road,rd
roads,rds
roadside,rdsd
roadway,rdwy
roadway,rdy
robert,robt
rocks,rks
ronde,rnde
rosebowl,rsbl
rotary,rty
round,rnd
route,rt
route,rte
rue,rue
run,run
saint,st
saints,ss
salai,street
senior,sr
serviceway,svwy
serviceway,swy
shunt,shun
siding,sdng
sister,sr
slope,slpe
sound,snd
south,s
south,sth
southeast,se
southwest,sw
spur,spur
square,sq
stairway,strwy
state highway,sh
state highway,shwy
state route,sr
station,sta
station,stn
strand,sd
strand,stra
street,st
strip,strp
subway,sbwy
tarn,tarn
tarn,tn
terminal,term
terrace,tce
terrace,ter
terrace,terr
thoroughfare,thfr
thoroughfare,thor
tollway,tlwy
tollway,twy
top,top
tor,tor
tower,twr
towers,twrs
township,twp
trace,trce
track,tr
track,trk
trail,trl
trailer,trlr
triangle,tri
trunkway,tkwy
tunnel,tun
turn,tn
turn,trn
turn,turn
turnpike,tpk
turnpike,tpke
underpass,upas
underpass,ups
university,uni
university,univ
upper,upr
vale,va
vale,vale
valley,vy
vazhi,way
viaduct,vdct
viaduct,via
viaduct,viad
view,view
view,vw
village,vill
villas,vlls
vista,vst
vista,vsta
walk,walk
walk,wk
walk,wlk
walkway,wkwy
walkway,wky
waters,wtr
way,way
way,wy
west,w
wharf,whrf
william,wm
wynd,wyn
wynd,wynd
yard,yd
